,label,path,category
0,0,ESC-50-master/audio/1-100032-A-0.wav,dog
1,14,ESC-50-master/audio/1-100038-A-14.wav,chirping_birds
2,36,ESC-50-master/audio/1-100210-A-36.wav,vacuum_cleaner
3,36,ESC-50-master/audio/1-100210-B-36.wav,vacuum_cleaner
4,19,ESC-50-master/audio/1-101296-A-19.wav,thunderstorm
5,19,ESC-50-master/audio/1-101296-B-19.wav,thunderstorm
6,30,ESC-50-master/audio/1-101336-A-30.wav,door_wood_knock
7,34,ESC-50-master/audio/1-101404-A-34.wav,can_opening
8,9,ESC-50-master/audio/1-103298-A-9.wav,crow
9,30,ESC-50-master/audio/1-103995-A-30.wav,door_wood_knock
10,30,ESC-50-master/audio/1-103999-A-30.wav,door_wood_knock
11,22,ESC-50-master/audio/1-104089-A-22.wav,clapping
12,22,ESC-50-master/audio/1-104089-B-22.wav,clapping
13,22,ESC-50-master/audio/1-105224-A-22.wav,clapping
14,0,ESC-50-master/audio/1-110389-A-0.wav,dog
15,22,ESC-50-master/audio/1-110537-A-22.wav,clapping
16,19,ESC-50-master/audio/1-115521-A-19.wav,thunderstorm
17,48,ESC-50-master/audio/1-115545-A-48.wav,fireworks
18,48,ESC-50-master/audio/1-115545-B-48.wav,fireworks
19,48,ESC-50-master/audio/1-115545-C-48.wav,fireworks
20,48,ESC-50-master/audio/1-115546-A-48.wav,fireworks
21,22,ESC-50-master/audio/1-115920-A-22.wav,clapping
22,22,ESC-50-master/audio/1-115920-B-22.wav,clapping
23,22,ESC-50-master/audio/1-115921-A-22.wav,clapping
24,41,ESC-50-master/audio/1-116765-A-41.wav,chainsaw
25,47,ESC-50-master/audio/1-11687-A-47.wav,airplane
26,31,ESC-50-master/audio/1-118206-A-31.wav,mouse_click
27,17,ESC-50-master/audio/1-118559-A-17.wav,pouring_water
28,45,ESC-50-master/audio/1-119125-A-45.wav,train
29,8,ESC-50-master/audio/1-121951-A-8.wav,sheep
30,15,ESC-50-master/audio/1-12653-A-15.wav,water_drops
31,15,ESC-50-master/audio/1-12654-A-15.wav,water_drops
32,15,ESC-50-master/audio/1-12654-B-15.wav,water_drops
33,46,ESC-50-master/audio/1-13571-A-46.wav,church_bells
34,46,ESC-50-master/audio/1-13572-A-46.wav,church_bells
35,37,ESC-50-master/audio/1-13613-A-37.wav,clock_alarm
36,32,ESC-50-master/audio/1-137-A-32.wav,keyboard_typing
37,16,ESC-50-master/audio/1-137296-A-16.wav,wind
38,37,ESC-50-master/audio/1-14262-A-37.wav,clock_alarm
39,25,ESC-50-master/audio/1-155858-A-25.wav,footsteps
